domain_name,ips,updated_date
abundantearth.coop,199.34.228.59,2014-10-13 07:00:00 UTC
coopdefrance-alpesmediterranee.coop,87.98.134.193,2014-10-13 07:00:00 UTC
centralec.coop,216.235.160.56,2014-10-13 07:00:00 UTC
remembered-forever.coop,,2014-10-13 07:00:00 UTC
manchesterfoodcoop.coop,64.95.78.91,2014-10-13 07:00:00 UTC
colopowerproject.coop,198.176.183.9,2014-10-13 07:00:00 UTC
orgasoft.coop,145.253.178.132,2014-10-13 07:00:00 UTC
ahoy.coop,208.90.215.75,2014-10-13 07:00:00 UTC
broadriverelectric.coop,50.57.28.127,2014-10-13 07:00:00 UTC
recinfocenter.coop,,2014-10-13 07:00:00 UTC
ivujivik.coop,,2014-10-13 07:00:00 UTC
co-operativeesourcing.coop,93.95.9.132,2014-10-13 07:00:00 UTC
midata.coop,,2014-10-13 07:00:00 UTC
elfuturescooperatiu.coop,,2014-10-13 07:00:00 UTC
agraries.coop,213.98.169.16,2014-10-13 07:00:00 UTC
boomersolutionscooperative.coop,,2014-10-13 07:00:00 UTC
fairfieldelectric.coop,66.96.161.137,2014-10-13 07:00:00 UTC
greenbelthomes.coop,66.96.161.158,2014-10-13 07:00:00 UTC
cooperativerentals.coop,127.0.0.1,2014-10-13 07:00:00 UTC
aerospaceconference.coop,66.96.161.128,2014-10-13 07:00:00 UTC
orientacionyseguridad.coop,107.23.132.196,2014-10-13 07:00:00 UTC
tradeunion.coop,81.19.188.86,2014-10-13 07:00:00 UTC
superdividend.coop,217.10.138.20,2014-10-13 07:00:00 UTC
aurrenak.coop,,2014-10-13 07:00:00 UTC
odyssee-creation.coop,213.186.33.2,2014-10-13 07:00:00 UTC
reclaim-fund.coop,185.26.230.129,2014-10-13 07:00:00 UTC
kine.coop,85.94.216.218,2014-10-13 07:00:00 UTC
suma.coop,89.145.74.25,2014-10-13 07:00:00 UTC
find.coop,97.107.140.105,2014-10-13 07:00:00 UTC
sdvalueadded.coop,208.88.242.80,2014-10-13 07:00:00 UTC
ciesseci.coop,83.222.250.124,2014-10-13 07:00:00 UTC
centralelectric.coop,173.193.106.11,2014-10-13 07:00:00 UTC
midatlanticcorporatesucks.coop,66.96.161.150,2014-10-13 07:00:00 UTC
brockley.coop,62.146.12.90,2014-10-13 07:00:00 UTC
cet.coop,,2014-10-13 07:00:00 UTC
coopacvn.coop,66.23.231.226,2014-10-13 07:00:00 UTC
farmland-insurance.coop,,2014-10-13 07:00:00 UTC
zenrosai-oita.coop,180.222.81.63,2014-10-13 07:00:00 UTC
coloradocountrylife.coop,50.87.150.6,2014-10-13 07:00:00 UTC
mon-compte-php.coop,85.12.144.3,2014-10-13 07:00:00 UTC
civil.coop,164.138.208.184,2014-10-13 07:00:00 UTC
booneelectric.coop,162.209.38.36,2014-10-13 07:00:00 UTC
rememberedforever.coop,217.10.159.135,2014-10-13 07:00:00 UTC
manchestermasterplan.coop,46.18.172.5,2014-10-13 07:00:00 UTC
lemilleeunanotte.coop,,2014-10-13 07:00:00 UTC
aibc-es.coop,194.150.236.244,2014-10-13 07:00:00 UTC
cloud.coop,,2014-10-13 07:00:00 UTC
chce.coop,74.120.223.26,2014-10-13 07:00:00 UTC
trianglecu.coop,,2014-10-13 07:00:00 UTC
co-operativeesourcingtest.coop,127.0.0.1,2014-10-13 07:00:00 UTC
personalplus.coop,,2014-10-13 07:00:00 UTC
eli.coop,63.252.30.100,2014-10-13 07:00:00 UTC
actif.coop,,2014-10-13 07:00:00 UTC
agreos.coop,212.85.128.39,2014-10-13 07:00:00 UTC
kutmb.coop,112.137.162.105,2014-10-13 07:00:00 UTC
memberzone.coop,63.68.155.143,2014-10-13 07:00:00 UTC
enreda.coop,5.135.93.97,2014-10-13 07:00:00 UTC
csrroma.coop,,2014-10-13 07:00:00 UTC
